Total Return,CC Total Return,Sharpe Ratio,Sortino Ratio,Annualised MAR,Total Return MAR,Max Drawdown,Drawdown Duration,Average DD Duration,Average Drawdown,Number of Drawdowns,zscore_high,zscore_low,ols_window,-4.33%,-4.43%,-0.48,-0.46,-0.00,0.99,-4.49%,50296,1580.64,-0.00%,33,2.0,0.5,50,
-4.80%,-4.92%,-0.63,-0.52,-0.00,1.01,-4.89%,50372,2484.90,-0.00%,21,2.0,1.0,50,
-5.87%,-6.05%,-0.91,-0.65,-0.00,1.02,-5.92%,51758,4349.83,-0.01%,12,2.0,1.5,50,
-1.25%,-1.26%,-0.21,-0.13,-0.00,0.89,-1.41%,49227,1739.03,-0.00%,30,3.0,0.5,50,
-1.24%,-1.25%,-0.26,-0.14,-0.00,0.94,-1.33%,49227,3262.00,-0.00%,16,3.0,1.0,50,
-1.39%,-1.40%,-0.36,-0.16,-0.00,0.99,-1.41%,51785,8700.67,-0.00%,6,3.0,1.5,50,
-0.29%,-0.29%,-0.09,-0.03,-0.00,0.72,-0.40%,48371,2746.37,-0.00%,19,4.0,0.5,50,
-0.34%,-0.34%,-0.13,-0.03,-0.00,0.79,-0.43%,48371,3479.40,-0.00%,15,4.0,1.0,50,
-0.21%,-0.21%,-0.10,-0.02,-0.00,0.64,-0.33%,31662,3479.53,-0.00%,15,4.0,1.5,50,
-2.34%,-2.36%,-0.26,-0.25,-0.00,0.95,-2.49%,50443,1797.17,-0.00%,29,2.0,0.5,100,
-2.68%,-2.71%,-0.35,-0.29,-0.00,0.97,-2.81%,47524,1930.59,-0.00%,27,2.0,1.0,100,
-3.38%,-3.44%,-0.53,-0.36,-0.00,1.01,-3.41%,50450,8692.00,-0.01%,6,2.0,1.5,100,
-0.89%,-0.89%,-0.15,-0.09,-0.00,0.90,-0.99%,50296,4010.31,-0.00%,13,3.0,0.5,100,
-0.92%,-0.92%,-0.19,-0.10,-0.00,0.92,-1.01%,50296,4344.67,-0.00%,12,3.0,1.0,100,
-0.74%,-0.74%,-0.19,-0.08,-0.00,0.90,-0.82%,34627,2743.74,-0.00%,19,3.0,1.5,100,
-0.10%,-0.10%,-0.03,-0.01,-0.00,0.27,-0.37%,24132,1370.87,-0.00%,38,4.0,0.5,100,
-0.07%,-0.07%,-0.03,-0.01,-0.00,0.21,-0.33%,24132,1107.98,-0.00%,47,4.0,1.0,100,
-0.02%,-0.02%,-0.01,-0.00,-0.00,0.08,-0.25%,24132,1211.40,-0.00%,43,4.0,1.5,100,
-0.84%,-0.84%,-0.09,-0.09,-0.00,0.80,-1.06%,49093,1155.33,-0.00%,45,2.0,0.5,200,
-0.96%,-0.96%,-0.13,-0.10,-0.00,0.84,-1.14%,47001,1181.75,-0.00%,44,2.0,1.0,200,
-1.64%,-1.66%,-0.27,-0.18,-0.00,0.92,-1.79%,48053,1529.50,-0.00%,34,2.0,1.5,200,
-0.13%,-0.13%,-0.02,-0.01,-0.00,0.27,-0.46%,32896,999.35,-0.00%,52,3.0,0.5,200,
-0.02%,-0.02%,-0.00,-0.00,-0.00,0.07,-0.32%,32896,1129.89,-0.00%,46,3.0,1.0,200,
-0.30%,-0.30%,-0.08,-0.03,-0.00,0.59,-0.51%,34580,1529.26,-0.00%,34,3.0,1.5,200,
-0.23%,-0.23%,-0.06,-0.02,-0.00,0.53,-0.44%,32051,1485.69,-0.00%,35,4.0,0.5,200,
-0.01%,-0.01%,-0.00,-0.00,-0.00,0.04,-0.26%,35793,1368.34,-0.00%,38,4.0,1.0,200,
-0.14%,-0.14%,-0.06,-0.02,-0.00,0.40,-0.34%,35904,1405.35,-0.00%,37,4.0,1.5,200,
